Target_Type,Horizon_Month,Date,Pct_Change_Per_Plus100bp
Total,1,2026-01-01,0.0
Total,2,2026-02-01,0.0
Total,3,2026-03-01,0.0
Total,4,2026-04-01,0.0
Total,5,2026-05-01,0.0
Total,6,2026-06-01,0.0
Total,7,2026-07-01,-0.0049
Total,8,2026-08-01,-0.0118
Total,9,2026-09-01,-0.0196
Total,10,2026-10-01,-0.0271
Total,11,2026-11-01,-0.0345
Total,12,2026-12-01,-0.0421
Total,13,2027-01-01,-0.0459
Total,14,2027-02-01,-0.0481
Total,15,2027-03-01,-0.0496
Total,16,2027-04-01,-0.0516
Total,17,2027-05-01,-0.0542
Total,18,2027-06-01,-0.0573
Total,19,2027-07-01,-0.0573
Total,20,2027-08-01,-0.0564
Total,21,2027-09-01,-0.055
Total,22,2027-10-01,-0.0539
Total,23,2027-11-01,-0.0528
Total,24,2027-12-01,-0.0513
Total,25,2028-01-01,-0.0518
Total,26,2028-02-01,-0.0527
Total,27,2028-03-01,-0.0536
Total,28,2028-04-01,-0.0541
Total,29,2028-05-01,-0.0543
Total,30,2028-06-01,-0.0542
Total,31,2028-07-01,-0.0539
Total,32,2028-08-01,-0.0537
Total,33,2028-09-01,-0.0534
Total,34,2028-10-01,-0.0533
Total,35,2028-11-01,-0.0533
Total,36,2028-12-01,-0.0533
Multi,1,2026-01-01,0.0
Multi,2,2026-02-01,0.0
Multi,3,2026-03-01,0.0
Multi,4,2026-04-01,0.0
Multi,5,2026-05-01,0.0
Multi,6,2026-06-01,0.0
Multi,7,2026-07-01,-0.0063
Multi,8,2026-08-01,-0.0147
Multi,9,2026-09-01,-0.0239
Multi,10,2026-10-01,-0.0328
Multi,11,2026-11-01,-0.0424
Multi,12,2026-12-01,-0.0527
Multi,13,2027-01-01,-0.0579
Multi,14,2027-02-01,-0.0609
Multi,15,2027-03-01,-0.0628
Multi,16,2027-04-01,-0.0652
Multi,17,2027-05-01,-0.0681
Multi,18,2027-06-01,-0.0714
Multi,19,2027-07-01,-0.071
Multi,20,2027-08-01,-0.0696
Multi,21,2027-09-01,-0.0681
Multi,22,2027-10-01,-0.067
Multi,23,2027-11-01,-0.0658
Multi,24,2027-12-01,-0.0639
Multi,25,2028-01-01,-0.0645
Multi,26,2028-02-01,-0.0656
Multi,27,2028-03-01,-0.0666
Multi,28,2028-04-01,-0.0672
Multi,29,2028-05-01,-0.0674
Multi,30,2028-06-01,-0.0674
Multi,31,2028-07-01,-0.067
Multi,32,2028-08-01,-0.0667
Multi,33,2028-09-01,-0.0664
Multi,34,2028-10-01,-0.0663
Multi,35,2028-11-01,-0.0662
Multi,36,2028-12-01,-0.0662
Single,1,2026-01-01,0.0
Single,2,2026-02-01,0.0
Single,3,2026-03-01,0.0
Single,4,2026-04-01,0.0
Single,5,2026-05-01,0.0
Single,6,2026-06-01,0.0
Single,7,2026-07-01,0.0002
Single,8,2026-08-01,0.0004
Single,9,2026-09-01,0.0007
Single,10,2026-10-01,0.001
Single,11,2026-11-01,0.0013
Single,12,2026-12-01,0.0016
Single,13,2027-01-01,0.0017
Single,14,2027-02-01,0.0018
Single,15,2027-03-01,0.0019
Single,16,2027-04-01,0.0019
Single,17,2027-05-01,0.002
Single,18,2027-06-01,0.0021
Single,19,2027-07-01,0.0021
Single,20,2027-08-01,0.0021
Single,21,2027-09-01,0.0021
Single,22,2027-10-01,0.0021
Single,23,2027-11-01,0.002
Single,24,2027-12-01,0.002
Single,25,2028-01-01,0.002
Single,26,2028-02-01,0.002
Single,27,2028-03-01,0.002
Single,28,2028-04-01,0.002
Single,29,2028-05-01,0.002
Single,30,2028-06-01,0.002
Single,31,2028-07-01,0.002
Single,32,2028-08-01,0.002
Single,33,2028-09-01,0.002
Single,34,2028-10-01,0.002
Single,35,2028-11-01,0.002
Single,36,2028-12-01,0.002
